-0,3911352;0;0;0,9203332;
-0,1727696;-0,1727696;0,6856754;0,6856754;
-0,7948031;0;0;0,6068674;
-0,3710859;0;0;-0,9285986;
0,4979563;-0,4979563;-0,5020354;0,5020354;
-0,6579736;-0,6579736;0,2589802;0,2589802;
-0,3911242;0;0;0,9203379;
-0,1727655;-0,1727655;0,6856764;0,6856764;
-0,7947921;0;0;0,6068818;
-0,3711026;0;0;-0,928592;
0,4979533;-0,4979533;-0,5020384;0,5020384;
-0,6579736;-0,6579736;0,2589802;0,2589802;
-0,3911407;0;0;0,9203309;
-0,1727696;-0,1727696;0,6856754;0,6856754;
-0,7947921;0;0;0,6068818;
-0,3711136;0;0;-0,9285876;
0,4979533;-0,4979533;-0,5020384;0,5020384;
-0,6579751;-0,6579751;0,2589764;0,2589764;
-0,3911242;0;0;0,9203379;
-0,1727779;-0,1727779;0,6856732;0,6856732;
-0,7947995;0;0;0,6068721;
-0,3710803;0;0;-0,9286007;
0,4979563;-0,4979563;-0,5020354;0,5020354;
-0,6579705;-0,6579705;0,2589881;0,2589881;
-0,3911242;0;0;0,9203379;
-0,1727861;-0,1727861;0,6856712;0,6856712;
-0,7947921;0;0;0,6068818;
-0,3711026;0;0;-0,928592;
0,4979563;-0,4979563;-0,5020354;0,5020354;
-0,6579736;-0,6579736;0,2589802;0,2589802;
-0,3911242;0;0;0,9203379;
-0,1728148;-0,1728148;0,6856639;0,6856639;
-0,7947995;0;0;0,6068721;
-0,3711638;0;0;-0,9285675;
0,4979563;-0,4979563;-0,5020354;0,5020354;
-0,657972;-0,657972;0,2589842;0,2589842;
-0,3911407;0;0;0,9203309;
-0,1728148;-0,1728148;0,6856639;0,6856639;
-0,7948031;0;0;0,6068674;
-0,3712416;0;0;-0,9285364;
0,4979654;-0,4979654;-0,5020264;0,5020264;
-0,6579736;-0,6579736;0,2589802;0,2589802;
-0,3911242;0;0;0,9203379;
-0,1728559;-0,1728559;0,6856536;0,6856536;
-0,7948139;0;0;0,6068532;
-0,3712806;0;0;-0,9285208;
0,4979503;-0,4979503;-0,5020413;0,5020413;
-0,657972;-0,657972;0,2589842;0,2589842;
-0,3911407;0;0;0,9203309;
-0,17293;-0,17293;0,685635;0,685635;
-0,794836;0;0;0,6068243;
-0,3714643;0;0;-0,9284473;
0,4979563;-0,4979563;-0,5020354;0,5020354;
-0,6579736;-0,6579736;0,2589802;0,2589802;
-0,3911242;0;0;0,9203379;
-0,1730285;-0,1730285;0,6856101;0,6856101;
